"Card Name","Card Description","Labels","Members","Due Date","Start Date","List Name","Checklist","Checklist item","Checklist item due","Checklist item member"
"","","","","","","","Acceptance Criteria","Auto_Reassigned__c flag correctly set on the new interview","",""
"","","","","","","","Acceptance Criteria","The candidate's slot conflict check still applies for the new booking","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: successful substitution, no substitute available, multiple affected interviews","",""
"TF-025: Build Interviewer Availability Management LWC","Create a Lightning Web Component for interviewers to manage availability slots. Includes a calendar view across all assigned stages, slot creation, and unavailability marking.","LWC (orange)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","Calendar displays slots across all assigned stages","",""
"","","","","","","","Acceptance Criteria","New slots respect stage window boundaries (visual + backend validation)","",""
"","","","","","","","Acceptance Criteria","Overlapping slot creation is prevented with user-friendly error","",""
"","","","","","","","Acceptance Criteria","Booked slots are visually distinct and non-deletable","",""
"","","","","","","","Acceptance Criteria","""Mark unavailable"" on a booked slot confirms the action and triggers TF-024","",""
"","","","","","","","Acceptance Criteria","Component is responsive and works in Lightning Experience","",""
"","","","","","","","Acceptance Criteria","Only accessible to users with TF_Interviewer permission set","",""
"TF-026: Build Candidate Self-Scheduling LWC (Portal)","Create a Lightning Web Component for the candidate-facing portal enabling self-service interview scheduling. Shows available slots, handles booking confirmation, rescheduling, and cancellation.","LWC (orange)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","Only available, non-conflicting slots are shown","",""
"","","","","","","","Acceptance Criteria","Selecting a slot shows a confirmation dialog before booking","",""
"","","","","","","","Acceptance Criteria","After confirmation, slot is immediately locked (other candidates see it as unavailable)","",""
"","","","","","","","Acceptance Criteria","Confirmation email is triggered for both candidate and interviewer","",""
"","","","","","","","Acceptance Criteria","Reschedule option available until 24h before, then disabled","",""
"","","","","","","","Acceptance Criteria","Cancel option available with confirmation dialog","",""
"","","","","","","","Acceptance Criteria","Component works in Experience Cloud (Community)","",""
"","","","","","","","Acceptance Criteria","Handles concurrent booking attempts gracefully (shows error if slot was just taken)","",""
"TF-027: Build Interview Pipeline Kanban View LWC (HR Manager)","Create a Kanban-style Lightning Web Component for the HR Manager to visualize and manage the interview pipeline for a specific job position, with candidates as cards across stage columns.","LWC (orange)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","All stages for the selected position are displayed as columns","",""
"","","","","","","","Acceptance Criteria","Candidates are placed in the correct column based on their current interview stage","",""
"","","","","","","","Acceptance Criteria","Card displays key info: name, score, interview date, status","",""
"","","","","","","","Acceptance Criteria","Clicking a card navigates to the application detail","",""
"","","","","","","","Acceptance Criteria","Column headers show candidate count","",""
"","","","","","","","Acceptance Criteria","Real-time refresh when data changes (Platform Events or polling)","",""
"","","","","","","","Acceptance Criteria","Accessible only to TF_HR_Manager permission set","",""
"TF-028: Implement AI Interview Preparation Service","Build InterviewPrepService to auto-generate an AI-powered preparation dossier for each interviewer when an interview is scheduled, including candidate summary, strengths, gaps, and suggested questions.","AI Integration (yellow)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Preparation dossier is generated when interview status changes to ""Scheduled""","",""
"","","","","","","","Acceptance Criteria","All five dossier sections are populated","",""
"","","","","","","","Acceptance Criteria","Questions account for the stage type (HR questions for HR stage, technical for tech stage)","",""
"","","","","","","","Acceptance Criteria","For stages 2+, previous interview notes/scores are factored into question generation","",""
"","","","","","","","Acceptance Criteria","Dossier is viewable by the assigned interviewer only","",""
"","","","","","","","Acceptance Criteria","AI callout uses Named Credential (no hardcoded keys)","",""
"","","","","","","","Acceptance Criteria","Graceful failure: if AI call fails, interviewer sees ""Preparation unavailable"" message","",""
"","","","","","","","Acceptance Criteria","Unit tests with mock callouts >= 85% coverage","",""
"TF-029: Implement AI Real-Time Interview Notes Service","Build the optional AI note-taking assistant (InterviewNotesService) that captures key points during an interview session in real-time. Opt-in only — interviewers must activate it.","AI Integration (yellow)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Note capture is opt-in (not auto-activated)","",""
"","","","","","","","Acceptance Criteria","AI identifies competencies mentioned and behavioral signals","",""
"","","","","","","","Acceptance Criteria","Structured summary is generated at session end","",""
"","","","","","","","Acceptance Criteria","Interviewer can modify the AI summary before final save","",""
"","","","","","","","Acceptance Criteria","AI notes are stored separately from interviewer's manual notes (AI_Notes__c vs Notes__c)","",""
"","","","","","","","Acceptance Criteria","Service handles session interruptions gracefully","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: activation, input processing, summary generation, rejection","",""
"TF-030: Implement Post-Interview Evaluation Service","Build the service handling the interviewer's post-interview evaluation submission: score, recommendation, notes, and explicit advancement decision. Triggers pipeline progression.","Backend (green)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Score validation ensures value <= stage's Max_Score","",""
"","","","","","","","Acceptance Criteria","All four evaluation fields must be filled (validation)","",""
"","","","","","","","Acceptance Criteria","AI_Score_Suggestion__c is displayed as a suggestion but not pre-filled in Score__c","",""
"","","","","","","","Acceptance Criteria","Interview status transitions from ""In_Progress"" or ""Scheduled"" to ""Completed""","",""
"","","","","","","","Acceptance Criteria","Pipeline progression is triggered automatically after evaluation save","",""
"","","","","","","","Acceptance Criteria","Evaluation is editable by the interviewer for 24h after submission, then locked","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: valid submission, score over max, missing fields, auto-progression trigger","",""
"TF-031: Implement Final Score Calculation Service","Build FinalScoreService to calculate the final composite score once a candidate completes all interview stages, combining the initial relevance score and all interview scores with configurable weights.","Backend (green)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Score is computed correctly using the weighted formula","",""
"","","","","","","","Acceptance Criteria","Individual interview scores are normalized to 0–100 before weighting","",""
"","","","","","","","Acceptance Criteria","Interview_Score__c stores the weighted sum of interview-only scores","",""
"","","","","","","","Acceptance Criteria","Final_Score__c stores the complete composite score","",""
"","","","","","","","Acceptance Criteria","Calculation fails gracefully if a stage has no completed interview","",""
"","","","","","","","Acceptance Criteria","Unit tests with multiple scenarios: 2-stage, 3-stage, different weight configs","",""
"TF-032: Implement Final Selection & Status Assignment Service","Build SelectionService for the final selection phase. HR Manager triggers finalization; the platform ranks candidates by final score and assigns Selected, Waitlisted, or Not_Retained statuses.","Backend (green)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Only HR Manager can trigger finalization","",""
"","","","","","","","Acceptance Criteria","Ranking is strictly by Final_Score descending","",""
"","","","","","","","Acceptance Criteria","Exactly N candidates are selected (or fewer if pool is smaller)","",""
"","","","","","","","Acceptance Criteria","Waiting list is properly ordered with sequential positions","",""
"","","","","","","","Acceptance Criteria","Selected candidates receive acceptance notification","",""
"","","","","","","","Acceptance Criteria","Not-retained candidates are notified with respectful message","",""
"","","","","","","","Acceptance Criteria","Waitlisted candidates are NOT notified","",""
"","","","","","","","Acceptance Criteria","Decision_Date__c is set on all applications","",""
"","","","","","","","Acceptance Criteria","Unit tests: normal selection, fewer candidates than quota, tie-breaking scenario","",""
"TF-033: Implement Offer Lifecycle Management Service","Build the service managing accepted candidates' lifecycle: Sent -> Negotiating -> Signed -> Expired -> Cancelled. Includes automatic reclassification from the waiting list when an offer expires or is cancelled.","Backend (green)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","All status transitions follow the defined state machine","",""
"","","","","","","","Acceptance Criteria","Invalid transitions are rejected (e.g., Signed -> Negotiating)","",""
"","","","","","","","Acceptance Criteria","Offer includes a configurable signature deadline","",""
"","","","","","","","Acceptance Criteria","Expired offers trigger automatic promotion of next waitlisted candidate","",""
"","","","","","","","Acceptance Criteria","Cancelled offers trigger automatic promotion","",""
"","","","","","","","Acceptance Criteria","Filled_Positions__c increments on each ""Signed"" transition","",""
"","","","","","","","Acceptance Criteria","When Filled_Positions__c reaches Desired_Hires__c, position auto-closes","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: full lifecycle, expiration + reclassification, cancellation, position closure","",""
"TF-034: Build Interviewer Evaluation LWC","Create a Lightning Web Component for interviewers to submit post-interview evaluations. Includes the AI preparation dossier, score input, AI suggestion display, recommendation, and advancement toggle.","LWC (orange)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Preparation dossier is displayed before/during the interview","",""
"","","","","","","","Acceptance Criteria","AI score suggestion is shown but does NOT pre-fill the score field","",""
"","","","","","","","Acceptance Criteria","Score field validates against stage's Max_Score in real-time","",""
"","","","","","","","Acceptance Criteria","Warning shown if contradictory signals (low score + advance, high score + no advance)","",""
"","","","","","","","Acceptance Criteria","AI notes are editable before submission","",""
"","","","","","","","Acceptance Criteria","After submission, pipeline progression feedback is immediate (toast notification)","",""
"","","","","","","","Acceptance Criteria","Only the assigned interviewer can access this component for their interviews","",""
"TF-035: Build Final Selection & Offer Management LWC (HR Manager)","Create a Lightning Web Component for the HR Manager to conduct final selection and manage the offer lifecycle, including ranked candidate list, offer status tracking, reclassification panel, and position fill counter.","LWC (orange)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Candidates ranked by final score with full score breakdown visible","",""
"","","","","","","","Acceptance Criteria","Finalize Selection requires confirmation and is irreversible","",""
"","","","","","","","Acceptance Criteria","Each status transition has an appropriate action button","",""
"","","","","","","","Acceptance Criteria","Signature deadline is configurable per candidate","",""
"","","","","","","","Acceptance Criteria","Auto-promotion events are logged and visible","",""
"","","","","","","","Acceptance Criteria","Position fill counter updates in real-time","",""
"","","","","","","","Acceptance Criteria","Component is accessible only to TF_HR_Manager","",""
"","","","","","","","Acceptance Criteria","All actions update the UI immediately (optimistic or reactive)","",""
"TF-036: Build Candidate Application Status Tracker LWC (Portal)","Create a Lightning Web Component for the candidate portal showing real-time status tracking of all applications. Provides transparency without revealing internal scores, filter decisions, or waiting list position.","LWC (orange)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","All applications for the logged-in candidate are displayed","",""
"","","","","","","","Acceptance Criteria","Status labels are in French, clear, and user-friendly","",""
"","","","","","","","Acceptance Criteria","No internal scores, filter data, or waitlist information is exposed","",""
"","","","","","","","Acceptance Criteria","Pipeline progress indicator accurately reflects the current stage","",""
"","","","","","","","Acceptance Criteria","Upcoming interviews are shown with schedule/reschedule options","",""
"","","","","","","","Acceptance Criteria","Component works in Experience Cloud","",""
"","","","","","","","Acceptance Criteria","Responsive design for mobile","",""
"TF-037: Implement Talent Pool Management Service","Build TalentPoolService handling the full vivier lifecycle. At recruitment closure, eligible candidates are enriched and stored. For new positions, the pool is automatically scanned for matching profiles.","Backend (green)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","Position closure triggers automatic pool feeding for all passing candidates","",""
"","","","","","","","Acceptance Criteria","Pool search returns candidates ranked by match score","",""
"","","","","","","","Acceptance Criteria","Pool is filterable by: skills, experience, date of last interaction, score","",""
"","","","","","","","Acceptance Criteria","HR Manager can invite a pool candidate to a new position","",""
"","","","","","","","Acceptance Criteria","Invited candidate receives notification and can accept/decline","",""
"","","","","","","","Acceptance Criteria","Acceptance creates a new Job_Application linked to the new position with Previous_Application__c","",""
"","","","","","","","Acceptance Criteria","Candidate who declines is not removed from the pool","",""
"","","","","","","","Acceptance Criteria","Spontaneous applications are added to pool immediately","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: pool feeding, search with various filters, invitation flow, accept/decline","",""
"TF-038: Implement Recruitment Closure Service","Build the service handling recruitment closure — triggered automatically when all slots are filled or manually by the HR Manager. Generates a synthesis report and feeds the talent pool.","Backend (green)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","Auto-closure triggers when filled positions = desired hires","",""
"","","","","","","","Acceptance Criteria","Manual closure is available to HR Manager at any time","",""
"","","","","","","","Acceptance Criteria","All active applications are archived with appropriate notifications","",""
"","","","","","","","Acceptance Criteria","Closure email is sent to all candidates with pending applications","",""
"","","","","","","","Acceptance Criteria","Synthesis report is generated and saved (as ContentDocument or custom object)","",""
"","","","","","","","Acceptance Criteria","Talent pool is fed after closure","",""
"","","","","","","","Acceptance Criteria","Closed position no longer appears on the candidate portal","",""
"","","","","","","","Acceptance Criteria","Unit tests: auto-closure, manual closure, mixed state applications at closure time","",""
"TF-039: Implement Full Email Notification Service","Build the centralized NotificationService handling all 12 automated communications. Uses Salesforce Email Templates in French, Custom Metadata for configuration, and logs all notifications.","Backend (green)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","All 12 notification types are implemented with French email templates","",""
"","","","","","","","Acceptance Criteria","Each notification uses the correct template and is sent to the correct recipient(s)","",""
"","","","","","","","Acceptance Criteria","Notifications respect the ""no notification for waitlisted"" rule until promotion or closure","",""
"","","","","","","","Acceptance Criteria","Rejection emails are only sent AFTER human validation (never automatic)","",""
"","","","","","","","Acceptance Criteria","All sent notifications are logged with timestamp, recipient, and template used","",""
"","","","","","","","Acceptance Criteria","Notifications can be disabled per event type via Custom Metadata","",""
"","","","","","","","Acceptance Criteria","Templates use merge fields for personalization (candidate name, position title, dates)","",""
"","","","","","","","Acceptance Criteria","Unit tests cover all 12 event types","",""
"TF-040: Implement AI Conversational Assistant Service","Build ChatAssistantService, the backend for the AI conversational assistant. Answers questions in natural language, contextualised to the user's role (Candidate, HR Manager, Interviewer).","AI Integration (yellow)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","Assistant responds correctly for all three user profiles","",""
"","","","","","","","Acceptance Criteria","Candidate assistant never reveals scores, internal evaluations, or waitlist position","",""
"","","","","","","","Acceptance Criteria","HR Manager can query the talent pool in natural language and get structured results","",""
"","","","","","","","Acceptance Criteria","Interviewer can access their assigned candidate's prep dossier via chat","",""
"","","","","","","","Acceptance Criteria","Session context is maintained across multiple messages","",""
"","","","","","","","Acceptance Criteria","Responses are in French","",""
"","","","","","","","Acceptance Criteria","AI callout uses Named Credential","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: role-based context, data access restrictions, session continuity","",""
"TF-041: Build AI Chatbot LWC (Multi-Profile)","Create a Lightning Web Component implementing the conversational interface for the AI assistant. Embedded in Lightning Experience (HR Manager, Interviewer) and Experience Cloud (Candidate).","LWC (orange)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","Chat panel is accessible on all relevant pages","",""
"","","","","","","","Acceptance Criteria","Quick actions differ by user profile (Candidate vs HR vs Interviewer)","",""
"","","","","","","","Acceptance Criteria","Messages are rendered in a chat thread format","",""
"","","","","","","","Acceptance Criteria","AI responses are formatted with rich text (lists, bold, links)","",""
"","","","","","","","Acceptance Criteria","Record links in responses are clickable and navigate to the correct page","",""
"","","","","","","","Acceptance Criteria","Session context persists during the user's browser session","",""
"","","","","","","","Acceptance Criteria","Component works in both Lightning Experience and Experience Cloud","",""
"","","","","","","","Acceptance Criteria","Loading/typing indicator shown during AI processing","",""
"TF-042: Build HR Manager Dashboard & KPIs LWC","Create the HR Manager dashboard providing a consolidated view of all active recruitments with key performance indicators: recruitment time, selection time, interview-to-offer rate, offer acceptance rate, and AI scoring accuracy.","LWC (orange)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","All five dashboard panels are implemented","",""
"","","","","","","","Acceptance Criteria","All five KPIs are computed and displayed","",""
"","","","","","","","Acceptance Criteria","Dashboard filters by position, department, date range","",""
"","","","","","","","Acceptance Criteria","Pending actions are prominently displayed with counts","",""
"","","","","","","","Acceptance Criteria","Charts are interactive (click to drill down)","",""
"","","","","","","","Acceptance Criteria","Data refreshes on page load (or configurable polling)","",""
"","","","","","","","Acceptance Criteria","Only accessible to TF_HR_Manager permission set","",""
"","","","","","","","Acceptance Criteria","Responsive layout for standard Lightning Home page","",""
"TF-043: Build Talent Pool Search & Invite LWC (HR Manager)","Create a Lightning Web Component for the HR Manager to search the talent pool, view matching profiles, and invite candidates to apply for new positions.","LWC (orange)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","Search returns candidates from the talent pool ordered by relevance","",""
"","","","","","","","Acceptance Criteria","All filters work independently and in combination","",""
"","","","","","","","Acceptance Criteria","Match score reflects the new position's requirements","",""
"","","","","","","","Acceptance Criteria","""Invite to apply"" sends notification to candidate and creates a pending application","",""
"","","","","","","","Acceptance Criteria","Bulk invite works for 50+ candidates","",""
"","","","","","","","Acceptance Criteria","Candidate detail shows enrichment data (scores, feedback, skills from previous applications)","",""
"","","","","","","","Acceptance Criteria","Personal data (email, phone) only visible to HR Manager per FLS rules","",""
"TF-044: Implement Decision Audit Trail & GDPR Compliance","Implement comprehensive audit logging (Decision_Audit_Log__c) for all decisions made in the platform and ensure GDPR compliance: data retention policy, anonymization on request, and data export.","Security (red)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","All state changes across Application, Interview, and Offer lifecycle are logged","",""
"","","","","","","","Acceptance Criteria","Audit logs are immutable (no edit/delete for non-admin users)","",""
"","","","","","","","Acceptance Criteria","Logs include actor identity, timestamp, and before/after state","",""
"","","","","","","","Acceptance Criteria","Candidate data can be anonymized on request without breaking referential integrity","",""
"","","","","","","","Acceptance Criteria","Data export is available in a machine-readable format","",""
"","","","","","","","Acceptance Criteria","Audit trail is searchable by position, candidate, date range, action type","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: log creation on each state change, anonymization, export","",""
"TF-045: End-to-End Integration Testing & UAT Preparation","Create comprehensive end-to-end test scenarios covering the full recruitment lifecycle. Prepare Test Data Factory and UAT test scripts for 8 E2E scenarios including happy path, filter flows, waitlist promotion, substitution, spontaneous applications, and concurrent bookings.","Testing (purple)","","","","Sprint 5 - Completion","","","",""
"","","","","","","","Acceptance Criteria","All 8 E2E scenarios pass with assertions","",""
"","","","","","","","Acceptance Criteria","Test Data Factory generates realistic data for all objects","",""
"","","","","","","","Acceptance Criteria","Overall code coverage across all Apex classes >= 85%","",""
"","","","","","","","Acceptance Criteria","No governor limit violations under bulk operations (200+ records)","",""
"","","","","","","","Acceptance Criteria","UAT test scripts are documented with step-by-step instructions","",""
"","","","","","","","Acceptance Criteria","All E2E tests run in < 5 minutes total","",""
